treat,rep,bact_clone,bact_time,phage_time,infect
mix,6,6,1,1,1
mix,6,7,1,1,0
mix,6,8,1,1,0
mix,6,9,1,1,0
mix,6,10,1,1,0
mix,6,11,1,1,1
mix,6,12,1,1,0
mix,6,13,1,1,1
mix,6,14,1,1,1
mix,6,15,1,1,0
mix,6,16,1,1,0
mix,6,1,1,2,0
mix,6,2,1,2,1
mix,6,3,1,2,0
mix,6,4,1,2,0
mix,6,5,1,2,1
mix,6,6,1,2,1
mix,6,7,1,2,0
mix,6,8,1,2,0
mix,6,9,1,2,0
mix,6,10,1,2,0
mix,6,11,1,2,1
mix,6,12,1,2,0
mix,6,13,1,2,1
mix,6,14,1,2,1
mix,6,15,1,2,0
mix,6,16,1,2,0
mix,6,1,1,3,0
mix,6,2,1,3,1
mix,6,3,1,3,0
mix,6,4,1,3,0
mix,6,5,1,3,1
mix,6,6,1,3,1
mix,6,7,1,3,0
mix,6,8,1,3,0
mix,6,9,1,3,0
mix,6,10,1,3,0
mix,6,11,1,3,1
mix,6,12,1,3,0
mix,6,13,1,3,1
mix,6,14,1,3,1
mix,6,15,1,3,0
mix,6,16,1,3,0
mix_add,1,1,1,1,1
mix_add,1,2,1,1,0
mix_add,1,3,1,1,0
mix_add,1,4,1,1,1
mix_add,1,5,1,1,0
mix_add,1,6,1,1,1
mix_add,1,7,1,1,1
mix_add,1,8,1,1,1
mix_add,1,9,1,1,0
mix_add,1,10,1,1,0
mix_add,1,11,1,1,1
mix_add,1,12,1,1,1
mix_add,1,13,1,1,0
mix_add,1,14,1,1,1
mix_add,1,15,1,1,1
mix_add,1,16,1,1,1
mix_add,1,1,1,2,1
mix_add,1,2,1,2,0
mix_add,1,3,1,2,0
mix_add,1,4,1,2,1
mix_add,1,5,1,2,0
mix_add,1,6,1,2,1
mix_add,1,7,1,2,1
mix_add,1,8,1,2,1
mix_add,1,9,1,2,0
mix_add,1,10,1,2,0
mix_add,1,11,1,2,1
mix_add,1,12,1,2,1
mix_add,1,13,1,2,0
mix_add,1,14,1,2,1
mix_add,1,15,1,2,1
mix_add,1,16,1,2,1
mix_add,1,1,1,3,1
mix_add,1,2,1,3,0
mix_add,1,3,1,3,0
mix_add,1,4,1,3,1
mix_add,1,5,1,3,0
mix_add,1,6,1,3,1
mix_add,1,7,1,3,1
mix_add,1,8,1,3,1
mix_add,1,9,1,3,0
mix_add,1,10,1,3,0
mix_add,1,11,1,3,1
mix_add,1,12,1,3,1
mix_add,1,13,1,3,0
mix_add,1,14,1,3,1
mix_add,1,15,1,3,1
mix_add,1,16,1,3,1
mix_add,2,1,1,1,0
mix_add,2,2,1,1,1
mix_add,2,3,1,1,0
mix_add,2,4,1,1,1
mix_add,2,5,1,1,0
mix_add,2,6,1,1,1
mix_add,2,7,1,1,0
mix_add,2,8,1,1,1
mix_add,2,9,1,1,1
mix_add,2,10,1,1,0
mix_add,2,11,1,1,0
mix_add,2,12,1,1,0
mix_add,2,13,1,1,0
mix_add,2,14,1,1,0
mix_add,2,15,1,1,0
mix_add,2,16,1,1,0
mix_add,2,1,1,2,0
mix_add,2,2,1,2,1
mix_add,2,3,1,2,0
mix_add,2,4,1,2,1
mix_add,2,5,1,2,0
mix_add,2,6,1,2,1
mix_add,2,7,1,2,0
mix_add,2,8,1,2,1
mix_add,2,9,1,2,1
mix_add,2,10,1,2,0
mix_add,2,11,1,2,1
mix_add,2,12,1,2,0
mix_add,2,13,1,2,0
mix_add,2,14,1,2,1
mix_add,2,15,1,2,0
mix_add,2,16,1,2,0
mix_add,2,1,1,3,0
mix_add,2,2,1,3,1
mix_add,2,3,1,3,0
mix_add,2,4,1,3,1
mix_add,2,5,1,3,0
mix_add,2,6,1,3,1
mix_add,2,7,1,3,0
mix_add,2,8,1,3,1
mix_add,2,9,1,3,1
mix_add,2,10,1,3,0
mix_add,2,11,1,3,1
mix_add,2,12,1,3,0
mix_add,2,13,1,3,0
mix_add,2,14,1,3,1
mix_add,2,15,1,3,0
mix_add,2,16,1,3,0
mix_add,3,1,1,1,1
mix_add,3,2,1,1,1
mix_add,3,3,1,1,1
mix_add,3,4,1,1,1
mix_add,3,5,1,1,1
mix_add,3,6,1,1,1
